tdiff
3 days 21:15:08.000000000
5 days 15:13:25.000000000
2 days 17:58:28.000000000
1 days 01:40:46.000000000
12 days 01:04:56.000000000
19 days 02:07:05.000000000
0 days 00:03:10.000000000
0 days 00:03:35.000000000
0 days 00:04:10.000000000
0 days 00:04:35.000000000
0 days 00:05:07.000000000
0 days 00:05:35.000000000
0 days 00:06:02.000000000
0 days 00:06:29.000000000
0 days 00:28:11.000000000
1 days 01:16:21.000000000
1 days 01:49:55.000000000
2 days 21:12:44.000000000
2 days 18:42:27.000000000
27 days 23:07:05.000000000
27 days 23:10:52.000000000
27 days 23:15:12.000000000
27 days 23:15:40.000000000
27 days 23:16:54.000000000
0 days 02:42:58.000000000
56 days 15:29:53.000000000
60 days 22:41:14.000000000
60 days 22:40:58.000000000
66 days 17:12:30.000000000
0 days 08:08:36.000000000
